#https://indico.uchicago.edu/event/427/contributions/1325/attachments/359/548/lz_results_tevpa.pdf WS2024 P24
mWIMP[GeV]	xsec[cm2]
8.899043703025498  1.3459603241553972e-46
9.61865718605009  8.382761242479287e-47
10.262591343719443  5.368323880126417e-47
11.092466929025449  3.0754114419430266e-47
11.835067295194683  2.2016178388273645e-47
12.792099790184007  1.4497406703726641e-47
14.374690379186417  9.546379822449066e-48
16.153073137846604  6.28618411395176e-48
19.366645767311304  4.256300264549603e-48
22.33408193522166  3.5023120527778673e-48
26.092177179662166  2.8027260181185505e-48
32.52333870135683  2.4383540982688466e-48
42.696669155536775  2.3062332316278535e-48
53.91471540435067  2.5780439840197335e-48
67.20353529753477  2.8818901281935553e-48
80.57334052236354  3.312541213510212e-48
94.13119746602638  3.7029545972154e-48
128.47481803835345  4.757944314009511e-48
199.61244638951885  7.12561872629203e-48
357.6604505698666  1.2266189715032716e-47
548.5446800601366  1.8627788157529794e-47
1062.347050626778  3.6348280510043885e-47
1878.9758607768395  6.170531598835288e-47
3366.7006498380097  1.1388108937271586e-46
7326.820843437617  2.484055474186414e-46
10000  3.374627229379855e-46
